 74	RXS171824-4029 	17:18:24.0  -40:29:34.8   259.600  -40.493
 75	SAX1750.8-2900 	17:50:14.4  -29:02:16.8   267.560  -29.038
 76	SAX0835.9+5118 	08:35:55.2  +51:18:36.0   128.980  +51.310
 77	X_0512-401     	05:14:06.7  -40:02:27.6    78.528  -40.041
 78	X_2127+119     	21:29:57.6  +12:10:01.2   322.490  +12.167
 79	X_2129+470     	21:31:26.4  +47:17:24.0   322.860  +47.290
 80	4U_1323-619    	13:26:36.0  -62:08:09.6   201.650  -62.136
 81	Cir_X-1        	15:20:40.8  -57:10:01.2   230.170  -57.167
 82	Cen_X-4        	14:58:21.6  -31:40:08.4   224.590  -31.669
 83	X_1832-330     	18:35:43.2  -32:58:55.2   278.930  -32.982
 84	Rapid_Burster  	17:33:24.0  -33:23:16.8   263.350  -33.388
 85	SLX_1735-269   	17:38:16.8  -27:00:14.4   264.570  -27.004
 86	4U_1715-321    	17:18:48.0  -32:10:40.8   259.700  -32.178
 87	XTE_J1723-376  	17:23:36.0  -37:38:60.0   260.900  -37.650
 88	SAX1747.0-2853 	17:47:02.4  -28:52:58.8   266.760  -28.883
 89	4U_1850-087    	18:53:04.8  -08:42:21.6   283.270   -8.706
 90	XTE_J2123-058  	21:23:14.4  -05:47:52.8   320.810   -5.798
 91	4U_1708-23     	17:08:24.0  -22:48:00.0   257.100  -22.800
 92	V0332+53       	03:35:00.0  +53:10:22.8    53.750  +53.173
 93	3A_0114+650    	01:18:02.6  +65:17:31.2    19.511  +65.292
 94	IGR_J17473-2721	17:47:19.2  -27:20:38.4   266.830  -27.344
 95	GRO_J1655-40   	16:54:00.0  -39:51:18.0   253.500  -39.855
 96	IGR_J19140+0951	19:14:02.4  +09:53:16.8   288.510   +9.888
 97	SW_1753.5-0127 	17:53:28.8  -01:27:06.1   268.370   -1.452
 98	AX_1631.9-4752 	16:32:00.0  -47:53:09.6   248.000  -47.886
 99	4U_1954+31     	19:55:43.2  +32:06:00.0   298.930  +32.100
100	AX17007-4139   	17:00:48.0  -41:40:22.8   255.200  -41.673
101	4U_2206+54     	22:07:55.2  +54:31:04.8   331.980  +54.518
102	HT1900.1-2455  	19:00:09.6  -24:55:12.0   285.040  -24.920
103	XTE_J1818-245  	18:18:24.0  -24:32:16.8   274.600  -24.538
104	1E1145.1-6141  	11:47:28.8  -61:57:14.4   176.870  -61.954
105	IGR16318-4848  	16:31:52.8  -48:48:10.8   247.970  -48.803
106	IGR17252-3616  	17:25:14.4  -36:16:26.4   261.310  -36.274
107	Ginga_1843+00  	18:45:38.4  +00:53:27.6   281.410   +0.891
108	XTE_J1855-026  	18:55:28.8  -02:35:49.2   283.870   -2.597
109	XTE_J1901+014  	19:01:40.8  +01:26:17.9   285.420   +1.438
110	4U_1901+03     	19:03:38.4  +03:12:54.0   285.910   +3.215
111	SS_433         	19:11:48.0  +04:59:24.0   287.950   +4.990
112	RXJ1940.2-1025 	19:40:12.0  -10:22:58.8   295.050  -10.383
113	KS_1947+300    	19:49:33.6  +30:12:46.8   297.390  +30.213
114	SAX2103.5+4545 	21:03:36.0  +45:45:25.2   315.900  +45.757
115	Circ_galaxy    	14:13:09.6  -65:19:22.8   213.290  -65.323
116	XTE_J1550-564  	15:51:02.4  -56:27:28.8   237.760  -56.458
117	4U_1630-47_SGR 	16:35:52.8  -47:35:24.0   248.970  -47.590
118	XTE_J1710-281  	17:10:19.2  -28:08:42.0   257.580  -28.145
119	SAX1712.6-3739 	17:12:33.6  -37:37:55.2   258.140  -37.632
120	V2400_Oph      	17:12:36.0  -24:16:12.0   258.150  -24.270
121	NGC_6300       	17:16:50.4  -62:47:31.2   259.210  -62.792
122	XTE_J1720-318  	17:19:55.2  -31:44:52.8   259.980  -31.748
123	GRS_1734-292   	17:37:28.8  -29:07:51.6   264.370  -29.131
124	M1741-293      	17:44:57.6  -29:20:09.6   266.240  -29.336
125	1E_1742.5-2859 	17:45:57.6  -28:54:36.0   266.490  -28.910
126	1E1743.1-2843  	17:46:21.6  -28:45:07.2   266.590  -28.752
127	XTE_J1807-294  	18:06:57.6  -29:24:57.6   271.740  -29.416
128	AXJ1820.5-1434 	18:20:31.2  -14:33:10.8   275.130  -14.553
129	4U_1822-371    	18:25:48.0  -37:06:00.0   276.450  -37.100
130	PKS_1830-211   	18:33:40.8  -21:04:44.4   278.420  -21.079
131	Kes_73         	18:41:16.8  -04:55:55.2   280.320   -4.932
132	IGR_J11215-5952	11:21:48.0  -59:51:43.2   170.450  -59.862
133	IGR_J11321-5311	11:32:04.8  -53:10:58.8   173.020  -53.183
134	IGR15479-4529  	15:48:14.4  -45:28:44.4   237.060  -45.479
135	AX_J1619.4-4945	16:19:28.8  -49:45:39.6   244.870  -49.761
136	IGR16358-4726  	16:35:52.8  -47:25:40.8   248.970  -47.428
137	IGR_J16465-4507	16:46:36.0  -45:07:04.8   251.650  -45.118
138	IGR_J17407-2808	17:40:40.8  -28:08:49.2   265.170  -28.147
139	IGR17597-2201  	17:59:40.8  -22:01:01.2   269.920  -22.017
140	AX_J1845.0-0433	18:45:02.4  -04:33:55.1   281.260   -4.565
141	SW1626.6-5156  	16:26:31.2  -51:56:42.0   246.630  -51.945
142	XTE_J1701-462  	17:00:57.6  -46:11:09.6   255.240  -46.186
143	Mrk_421        	11:04:26.4  +38:12:32.4   166.110  +38.209
144	1A_1246-588    	12:49:40.8  -59:05:13.2   192.420  -59.087
145	XTE1946p274    	19:45:38.4  +27:21:50.4   296.410  +27.364
146	MAXI1659n152   	16:59:02.4  -15:15:28.8   254.760  -15.258
147	MXB_0656-072   	06:57:52.8  -07:12:28.8   104.470   -7.208
148	GRO_J1750-27   	17:49:09.6  -26:37:48.0   267.290  -26.630
149	IGR_J16479-4514	16:48:07.2  -45:12:07.2   252.030  -45.202
150	IGR_J08408-4503	08:40:50.4  -45:03:07.2   130.210  -45.052
151	XTE_J1739-302  	17:39:12.0  -30:20:38.4   264.800  -30.344
152	SAX_J1753.5-234	17:53:31.2  -23:49:01.2   268.380  -23.817
153	AX_J1841.-0535 	18:41:00.0  -05:35:46.7   280.250   -5.596
154	AXP_1E1547.-540	15:50:55.2  -54:18:21.6   237.730  -54.306
155	1A1118-61      	11:20:57.6  -61:55:01.2   170.240  -61.917
156	XTE_J1751-305  	17:51:16.8  -30:37:30.0   267.820  -30.625
157	XTE_J1814-338  	18:13:38.4  -33:46:22.8   273.410  -33.773
158	UW_Crb         	16:05:45.6  +25:51:46.8   241.440  +25.863
159	XTE_J1709-267  	17:09:31.2  -26:39:25.2   257.380  -26.657
160	4U_1708-40     	17:12:24.0  -40:50:34.8   258.100  -40.843
161	IGR_J17191-2821	17:19:04.8  -28:21:00.0   259.770  -28.350
162	MXB1716-31     	17:19:12.0  -31:53:60.0   259.800  -31.900
163	1RXH_J173523.7-	17:35:24.0  -35:40:12.0   263.850  -35.670
164	IGR_J17364-2711	17:36:28.8  -27:11:56.4   264.120  -27.199
165	XTE_J1739-285  	17:39:52.8  -28:29:45.6   264.970  -28.496
166	Terzan_5       	17:48:04.8  -24:46:48.0   267.020  -24.780
167	1A_1744-361    	17:48:19.2  -36:07:15.6   267.080  -36.121
168	Swift_J1749.4-2	17:49:31.2  -28:08:06.0   267.380  -28.135
169	IGR_J17511-3057	17:51:04.8  -30:56:60.0   267.770  -30.950
170	SGR1833n0832   	18:33:43.2  -08:31:08.4   278.430   -8.519
171	SGR1900+14     	19:07:14.4  +09:19:21.0   286.810   +9.322
172	SGR2013+34     	20:13:55.2  +34:19:55.2   303.480  +34.332
173	SGR0418+5729   	04:18:25.0  +57:29:16.8    64.604  +57.488
174	XTEJ1810-197   	18:09:50.4  -19:43:51.6   272.460  -19.731
175	1E_1048.1-5937 	10:50:07.2  -59:53:20.4   162.530  -59.889
176	AXJ1845-0258   	18:44:55.2  -02:56:53.2   281.230   -2.948
177	1E_2259+586    	23:01:07.2  +58:52:44.4   345.280  +58.879
178	CXOU010043-7211	01:00:43.2  -72:11:34.8    15.180  -72.193
179	4U_0142+61     	01:46:22.6  +61:45:03.6    26.594  +61.751
180	1RXS170849-4009	17:08:48.0  -40:08:52.8   257.200  -40.148
181	SAX_J1806.5-221	18:06:28.8  -22:15:00.0   271.620  -22.250
182	2S_1803-245    	18:06:50.4  -24:35:13.2   271.710  -24.587
183	XTE_J1810-189  	18:10:26.4  -19:04:12.0   272.610  -19.070
184	M28            	18:24:33.6  -24:52:12.0   276.140  -24.870
185	MXB_1906+00    	19:08:26.4  +00:10:08.0   287.110   +0.169
186	XB_1940-04     	19:42:38.4  -03:53:60.0   295.660   -3.900
187	SAXJ1544.7-6944	15:44:40.8  -69:44:38.4   236.170  -69.744
188	GROJ1744-28    	17:44:33.6  -28:45:21.6   266.140  -28.756
189	AX_J1754.2-2754	17:54:14.4  -27:54:36.0   268.560  -27.910
190	sw1644p5734    	16:44:49.9  +57:34:59.9   251.208  +57.583
191	IGRJ16418-4532 	16:41:50.4  -45:32:24.0   250.460  -45.540
192	IGRJ16493-4348 	16:49:26.4  -43:49:08.4   252.360  -43.819
193	IGRJ17091-3624 	17:09:07.2  -36:24:25.2   257.280  -36.407
194	IGRJ18325-0756 	18:32:28.8  -07:56:41.6   278.120   -7.945
195	IGRJ10043-8702 	10:04:16.8  -87:02:06.0   151.070  -87.035
196	IGRJ10500-6410 	10:50:04.8  -64:10:08.4   162.520  -64.169
197	IGRJ15283-4443 	15:28:16.8  -44:43:01.2   232.070  -44.717
198	IGRJ17536-2339 	17:53:36.0  -23:38:60.0   268.400  -23.650
199	IGRJ17541-2252 	17:54:04.8  -22:52:01.2   268.520  -22.867
200	IGRJ18159-3353 	18:15:57.6  -33:53:24.0   273.990  -33.890
201	IGRJ18175-1530 	18:17:33.6  -15:30:39.6   274.390  -15.511
202	IGRJ18462-0223 	18:46:16.8  -02:23:12.1   281.570   -2.387
203	IGRJ20188+3647 	20:18:48.0  +36:47:31.2   304.700  +36.792
204	IGRJ21117+3427 	21:11:48.0  +34:27:43.2   317.950  +34.462
205	SwJ1834.9-0846 	18:34:53.0  -08:45:03.6   278.721   -8.751
206	SwJ1922.7-1716 	19:22:36.7  -17:16:58.8   290.653  -17.283
207     SwJ1910.2-0546  19:10:22.8  -05:47:58.0   287.595   -5.799
208     IGRJ17062-6143  17:06:16.3  -61:42:35.3   256.568  -61.710
209     Ginga_0834-430  08:35:54.9  -43:11:07.9   128.979  -43.186
210     SwJ1745.1-2624  17:45:10.6  -26:24:14.7   266.294  -26.404
211     SwJ1734.5-3027  17:34:24.5  -30:23:54.0   263.602  -30.398
212     SGR1935+2154    19:34:55.7  +21:53:48.2   293.732  +21.897
213     V404_Cyg        20:24:03.9  +33:51:52.2   306.016  +33.864
214     SwJ0243.6+6124  02:43:40.3  +61:26:02.8   40.9179  +61.434
215     MAXI_J1820+070  18:20:21.9  +07:11:07.1   275.091   +7.185
